0	-14.742335
1	-14.21781
2	-13.8279
3	-13.2348
4	-12.831536
5	-12.2311
6	-11.824626
7	-11.291619
8	-10.8216
9	-10.302989
10	-9.8246
11	-9.3148
12	-8.919241
13	-8.4057
14	-7.978504
15	-7.4312
16	-6.7687
17	-6.288202
18	-5.8917
19	-5.3886
20	-4.9861
21	-4.4903
22	-4.077909
23	-3.57602
24	-3.085442
25	-2.570626
26	-2.1644
27	-1.566198
28	-1.116201
29	-0.461656
30	-0.050262
31	0.577192
32	1.1496
33	1.752051
34	2.154758
35	2.759667
36	3.162475
37	3.66598
38	4.149494
39	4.661175
40	5.0734
41	5.576172
42	5.9784
43	6.4799
44	6.880334
45	7.386566
46	7.788768
47	8.292374
48	8.869498
49	9.306589
50	9.707646
